fiscal_year,month,company_name,refinery_name,quantity,unit,note
2024-25,February,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",0,quantity in thousand metric tonnes,
2024-25,January,Bharat Petroleum Corporation Ltd,BPCL-BINA,0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",0,quantity in thousand metric tonnes,
2024-25,January,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,January,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,January,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,January,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",0,quantity in thousand metric tonnes,
2024-25,January,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,January,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,January,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",0,quantity in thousand metric tonnes,
2024-25,January,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",0,quantity in thousand metric tonnes,
2024-25,January,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,January,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",0,quantity in thousand metric tonnes,
2024-25,January,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,January,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",0,quantity in thousand metric tonnes,
2024-25,January,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",0,quantity in thousand metric tonnes,
2024-25,January,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",0,quantity in thousand metric tonnes,
2024-25,December,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,December,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,December,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,December,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",0,quantity in thousand metric tonnes,
2024-25,December,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",0,quantity in thousand metric tonnes,
2024-25,December,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,December,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",0,quantity in thousand metric tonnes,
2024-25,December,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,December,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,December,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",0,quantity in thousand metric tonnes,
2024-25,December,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,December,Bharat Petroleum Corporation Ltd,BPCL-BINA,0,quantity in thousand metric tonnes,
2024-25,December,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",0,quantity in thousand metric tonnes,
2024-25,December,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,December,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,November,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,November,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",0,quantity in thousand metric tonnes,
2024-25,November,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,November,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,November,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",0,quantity in thousand metric tonnes,
2024-25,November,Bharat Petroleum Corporation Ltd,BPCL-BINA,0,quantity in thousand metric tonnes,
2024-25,November,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,November,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,November,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,November,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",0,quantity in thousand metric tonnes,
2024-25,November,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,November,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,November,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",0,quantity in thousand metric tonnes,
2024-25,November,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,November,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",0,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",576.14,quantity in thousand metric tonnes,
2024-25,October,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",272.03,quantity in thousand metric tonnes,
2024-25,October,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",1486.11,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",1356.92,quantity in thousand metric tonnes,
2024-25,October,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",1418.94,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",364.32,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",41.68,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",1353.4,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",109.88,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",71.02,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",253.93,quantity in thousand metric tonnes,
2024-25,October,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",1272.95,quantity in thousand metric tonnes,
2024-25,October,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",1101.85,quantity in thousand metric tonnes,
2024-25,October,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,October,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",704.52,quantity in thousand metric tonnes,
2024-25,October,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",989.32,quantity in thousand metric tonnes,
2024-25,October,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",5.71,quantity in thousand metric tonnes,
2024-25,October,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",2842.8,quantity in thousand metric tonnes,
2024-25,October,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",2586.73,quantity in thousand metric tonnes,
2024-25,October,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",1745.65,quantity in thousand metric tonnes,
2024-25,October,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",1184.66,quantity in thousand metric tonnes,
2024-25,October,Bharat Petroleum Corporation Ltd,BPCL-BINA,685.99,quantity in thousand metric tonnes,
2024-25,October,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",878.54,quantity in thousand metric tonnes,
2024-25,September,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",537.83,quantity in thousand metric tonnes,
2024-25,September,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,September,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",1279.12,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",1228.02,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",243.46,quantity in thousand metric tonnes,
2024-25,September,Bharat Petroleum Corporation Ltd,BPCL-BINA,489.35,quantity in thousand metric tonnes,
2024-25,September,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",1677.1,quantity in thousand metric tonnes,
2024-25,September,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",868.5,quantity in thousand metric tonnes,
2024-25,September,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",1354.52,quantity in thousand metric tonnes,
2024-25,September,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",1464.17,quantity in thousand metric tonnes,
2024-25,September,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",243.96,quantity in thousand metric tonnes,
2024-25,September,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",2936.46,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",485.73,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",1315.61,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",38.05,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",585.74,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",1248.09,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",59.01,quantity in thousand metric tonnes,
2024-25,September,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",86.56,quantity in thousand metric tonnes,
2024-25,September,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",1060.85,quantity in thousand metric tonnes,
2024-25,September,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",1263.13,quantity in thousand metric tonnes,
2024-25,September,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",2697.43,quantity in thousand metric tonnes,
2024-25,September,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",5.31,quantity in thousand metric tonnes,
2024-25,August,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",2478.93,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",1151.37,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",101.2,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",589.3,quantity in thousand metric tonnes,
2024-25,August,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",283.86,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",586.96,quantity in thousand metric tonnes,
2024-25,August,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",1752.88,quantity in thousand metric tonnes,
2024-25,August,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",1496.51,quantity in thousand metric tonnes,
2024-25,August,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",2921.46,quantity in thousand metric tonnes,
2024-25,August,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",1098.98,quantity in thousand metric tonnes,
2024-25,August,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",1252.01,quantity in thousand metric tonnes,
2024-25,August,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",741.85,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",1230.42,quantity in thousand metric tonnes,
2024-25,August,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",5.79,quantity in thousand metric tonnes,
2024-25,August,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",210.86,quantity in thousand metric tonnes,
2024-25,August,Bharat Petroleum Corporation Ltd,BPCL-BINA,531.94,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",68.37,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",236.85,quantity in thousand metric tonnes,
2024-25,August,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",1342.54,quantity in thousand metric tonnes,
2024-25,August,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",1395.02,quantity in thousand metric tonnes,
2024-25,August,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",1360.3,quantity in thousand metric tonnes,
2024-25,August,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",680.63,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",1241.43,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",252.61,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",585.92,quantity in thousand metric tonnes,
2024-25,July,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",1309.6,quantity in thousand metric tonnes,
2024-25,July,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",1111.37,quantity in thousand metric tonnes,
2024-25,July,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",2985.82,quantity in thousand metric tonnes,
2024-25,July,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",2512.47,quantity in thousand metric tonnes,
2024-25,July,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",1763.85,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",1351.86,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",666.79,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",57.41,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",104.55,quantity in thousand metric tonnes,
2024-25,July,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",865.33,quantity in thousand metric tonnes,
2024-25,July,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",1478.14,quantity in thousand metric tonnes,
2024-25,July,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",5.65,quantity in thousand metric tonnes,
2024-25,July,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",214.9,quantity in thousand metric tonnes,
2024-25,July,Bharat Petroleum Corporation Ltd,BPCL-BINA,685.06,quantity in thousand metric tonnes,
2024-25,July,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",1549.85,quantity in thousand metric tonnes,
2024-25,July,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",1364.29,quantity in thousand metric tonnes,
2024-25,July,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,July,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",879.99,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",907.58,quantity in thousand metric tonnes,
2024-25,July,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",688.44,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",1300.03,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",1298.85,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",845.11,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",672.64,quantity in thousand metric tonnes,
2024-25,June,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",2627.24,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",566.25,quantity in thousand metric tonnes,
2024-25,June,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",1598.32,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",217.61,quantity in thousand metric tonnes,
2024-25,June,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",2832.08,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",63.45,quantity in thousand metric tonnes,
2024-25,June,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",1482.26,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",107.51,quantity in thousand metric tonnes,
2024-25,June,Bharat Petroleum Corporation Ltd,BPCL-BINA,678.21,quantity in thousand metric tonnes,
2024-25,June,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,June,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",1076.52,quantity in thousand metric tonnes,
2024-25,June,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",1120.86,quantity in thousand metric tonnes,
2024-25,June,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",884.31,quantity in thousand metric tonnes,
2024-25,June,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",930.19,quantity in thousand metric tonnes,
